objectName,,,vehicle,steamer,1862-01-06,Class_compiled.xml
objectName,,,equipment,baggage,1862-01-06,Class_compiled.xml
objectName,,,drink,tea,1862-01-06,Class_compiled.xml
objectName,,,drink,liquor,1862-01-06,Class_compiled.xml
objectName,,,vehicle,vessels,1862-01-06,Class_compiled.xml
objectName,,,equipment,table,1862-01-06,Class_compiled.xml
objectName,,,equipment,table,1862-01-06,Class_compiled.xml
objectName,,,mail,slips of paper,1862-01-06,Class_compiled.xml
objectName,,,drink,coffee,1862-01-06,Class_compiled.xml
objectName,,,food,ham,1862-01-06,Class_compiled.xml
objectName,,,equipment,canteen,1862-01-06,Class_compiled.xml
objectName,,,drink,water,1862-01-06,Class_compiled.xml
objectName,,,vehicle,Northerner,1862-01-06,Class_compiled.xml
objectName,,,mail,package of money,1862-01-06,Class_compiled.xml
objectName,,,clothing,knapsacks,1862-01-06,Class_compiled.xml
objectName,,,equipment,portfolio,1862-01-06,Class_compiled.xml
objectName,,,equipment,writing material,1862-01-06,Class_compiled.xml
objectName,,,equipment,cigars,1862-01-06,Class_compiled.xml
objectName,,,clothing,blanket,1862-01-06,Class_compiled.xml
objectName,,,food,loaves of bread,1862-01-06,Class_compiled.xml
objectName,,,drink,coffee,1862-01-06,Class_compiled.xml
objectName,,,food,boiled ham,1862-01-06,Class_compiled.xml
objectName,,,equipment,camp chest,1862-01-06,Class_compiled.xml
objectName,,,food,butter,1862-01-06,Class_compiled.xml
objectName,,,vehicle,Cossack,1862-01-07,Class_compiled.xml
objectName,,,vehicle,Eastern City,1862-01-07,Class_compiled.xml
objectName,,,equipment,steamer,1862-01-07,Class_compiled.xml
objectName,,,Furniture,carpet,1862-01-07,Class_compiled.xml
objectName,,,Furniture,curtains,1862-01-07,Class_compiled.xml
objectName,,,Furniture,washing place,1862-01-07,Class_compiled.xml
objectName,,,Furniture,mirrors,1862-01-07,Class_compiled.xml
objectName,,,vehicle,steamboats,1862-01-07,Class_compiled.xml
objectName,,,vehicle,ships,1862-01-07,Class_compiled.xml
objectName,,,vehicle,steamboats,1862-01-07,Class_compiled.xml
objectName,,,vehicle,ship,1862-01-07,Class_compiled.xml
objectName,,,Equipment,glass,1862-01-07,Class_compiled.xml
objectName,,,,boat,1862-01-07,Class_compiled.xml
objectName,,,,windows,1862-01-07,Class_compiled.xml
objectName,,,,Imolita,1862-01-07,Class_compiled.xml
objectName,,,equipment,guns,1862-01-07,Class_compiled.xml
objectName,,,mail,letters,1862-01-07,Class_compiled.xml
objectName,,,vehicle,boat,1862-01-07,Class_compiled.xml
objectName,,,Equipment,boards,1862-01-07,Class_compiled.xml
objectName,,,equipment,steamer,1862-01-07,Class_compiled.xml
objectName,,,Equipment,boat,1862-01-07,Class_compiled.xml
objectName,,,vehicle,boats,1862-01-07,Class_compiled.xml
objectName,,,vehicle,boat,1862-01-07,Class_compiled.xml
objectName,,,vehicle,boat,1862-01-07,Class_compiled.xml
objectName,,,vehicle,ships,1861-11-22,Class_compiled.xml
objectName,,,vehicle,boat,1861-11-22,Class_compiled.xml
objectName,,,vehicle,boat,1861-11-22,Class_compiled.xml
objectName,,,equipment,"steamer,",1861-11-22,Class_compiled.xml
objectName,,,vehicle,boat,1861-11-22,Class_compiled.xml
objectName,,,equipment,vessel,1861-11-22,Class_compiled.xml
objectName,,,,"Eastern City,",1861-11-22,Class_compiled.xml
objectName,,,vehicle,ships,1861-11-22,Class_compiled.xml
objectName,,,equipment,steamers,1861-11-22,Class_compiled.xml
objectName,,,,flag,1861-11-22,Class_compiled.xml
objectName,,,,flag,1861-11-22,Class_compiled.xml
objectName,,,,deck,1861-11-22,Class_compiled.xml
objectName,,,,Cossack,1861-11-22,Class_compiled.xml
objectName,,,equipment,rockets,1861-11-22,Class_compiled.xml
objectName,,,equipment,gun,1861-11-22,Class_compiled.xml
objectName,,,equipment,guns,1861-11-22,Class_compiled.xml
objectName,,,Readable,letter,1861-11-22,Class_compiled.xml
objectName,,,equipment,pistol,1861-11-22,Class_compiled.xml
objectName,,,clothing,shoes,1861-11-22,Class_compiled.xml
objectName,,,equipment,glass,1861-11-22,Class_compiled.xml
objectName,,,Equipment,toys.,1861-11-22,Class_compiled.xml
objectName,,,clothing,shirt,1861-11-22,Class_compiled.xml
objectName,,,mail,map,1861-11-22,Class_compiled.xml
objectName,,,vehicle,ship,1861-11-22,Class_compiled.xml
objectName,,,,Cossack,1861-11-22,Class_compiled.xml
objectName,,,equipment,stern,1861-11-22,Class_compiled.xml
objectName,,,vehicle,ship,1861-11-22,Class_compiled.xml
objectName,,,,window,1861-11-22,Class_compiled.xml
objectName,,,,window,1861-11-22,Class_compiled.xml
objectName,,,vehicle,boats,1861-11-22,Class_compiled.xml
objectName,,,equipment,stern,1861-11-22,Class_compiled.xml
objectName,,,equipment,rockets,1861-11-22,Class_compiled.xml
