REMOVE THIS COLUMN (KEEP THIS ROW),node_id,url_alias,title,langcode,uuid,uid,changed,created,field_description,field_extent,file
LABEL (REMOVE THIS ROW),Node ID,URL alias,Title,Drupal language code,UUID,User ID,Changed,Created,Description,Extent,
NUMBER OF VALUES ALLOWED (REMOVE THIS ROW),1,1,1,1,1,1,1,1,1,unlimited,
,2933,/group/james-merrill-linn-bucknellian-war/march-24-1862,"March 24, 1862",en,fc19f095-7f13-4e5f-bcc0-fcb2f202706d,9,2026-03-04T21:32:17+00:00,2026-01-28T02:33:12+00:00,,,1862-03-24_0_0_0_0_0_0_0_0_0_0_0_0_0.xml
,2954,/group/james-merrill-linn-bucknellian-war/april-19-1862,"April 19, 1862",en,20c6b4c6-c8ec-49f0-8a94-4a3e8adce81d,9,2026-03-04T22:06:09+00:00,2026-01-28T02:52:53+00:00,,,1862-04-19_0_0_0_0_0_0_0_0_0_0_0.xml
,2906,/group/james-merrill-linn-bucknellian-war/february-14-1862,"February 14, 1862",en,12552a06-606c-4753-9777-2fbb4740f9c9,9,2026-03-04T18:43:36+00:00,2026-01-28T02:09:56+00:00,,,1862-02-14_0_0_0_1_0_0_0_0_0_0_0.xml
,2892,/group/james-merrill-linn-bucknellian-war/january-30-1862,"January 30, 1862",en,719de13b-9767-4042-8a0d-2ad95cd0261f,9,2026-03-05T02:51:00+00:00,2026-01-28T01:57:16+00:00,,,1862-01-30_0_0_0_0_0_0.xml
,2884,/group/james-merrill-linn-bucknellian-war/january-22-1862,"January 22, 1862",en,48f43e73-f905-4d4e-a6b7-7ff01dd2480b,9,2026-03-18T14:44:31+00:00,2026-01-28T01:50:04+00:00,,,1862-01-22_0_0_0_0_0_0_0_0_0.xml
,2902,/group/james-merrill-linn-bucknellian-war/february-9-1862,"February 9, 1862",en,7d0f5378-1dd3-4fd9-b21c-fd40c9b348fe,9,2026-03-17T21:14:31+00:00,2026-01-28T02:05:41+00:00,,,1862-02-09_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml
,2891,/group/james-merrill-linn-bucknellian-war/january-29-1862,"January 29, 1862",en,6472af71-6142-442a-8a11-780d826479e9,9,2026-03-05T02:49:06+00:00,2026-01-28T01:56:20+00:00,,,1862-01-29_0_0_0_0_0_0.xml
,2867,/group/james-merrill-linn-bucknellian-war/december-31-1861,"December 31, 1861",en,f998ab94-6e24-4c95-bbfd-67451c27821d,9,2026-03-02T16:41:57+00:00,2026-01-28T01:25:06+00:00,,,1861-12-31_0_0_0_0_0_0_0_0_0_0_0_0.xml
,2883,/group/james-merrill-linn-bucknellian-war/january-21-1862,"January 21, 1862",en,673f2fab-9014-40ea-90d6-59ad03b4bb32,9,2026-03-15T18:41:25+00:00,2026-01-28T01:49:07+00:00,,,1862-01-21_0_0_0_0_0_0_0_0.xml
,2851,/group/james-merrill-linn-bucknellian-war/december-15-1861,"December 15, 1861",en,6a44e968-fe8d-486e-b17c-f58270d12ed8,9,2026-03-04T16:47:43+00:00,2026-01-28T01:02:57+00:00,,,1861-12-15_0_0_0_0_0_0_0_0_0_0_0_0_0.xml
,2866,/group/james-merrill-linn-bucknellian-war/december-30-1861,"December 30, 1861",en,f89e8ff4-7500-4f61-b415-2194e17f69d8,9,2026-03-17T14:17:22+00:00,2026-01-28T01:24:01+00:00,,,1861-12-30_0_0_0_0_0_0_0_0_0_0.xml
,2838,/group/james-merrill-linn-bucknellian-war/november-23-1861,"November 23, 1861",en,f76e2745-c988-46d1-83f4-2ffe3adb9245,9,2026-03-16T14:24:25+00:00,2026-01-28T00:43:08+00:00,,,1861-11-23_0_0_0_0_0_0_0_0_0_0.xml
,2914,/group/james-merrill-linn-bucknellian-war/february-22-1862,"February 22, 1862",en,8e5eb443-49a9-4ac8-a58e-a7beb3ad051e,9,2026-03-04T19:17:40+00:00,2026-01-28T02:17:52+00:00,,,1862-02-22_0_0_0_0_0_0_0_0_0_0_0.xml
,2835,/group/james-merrill-linn-bucknellian-war/november-22-1861,"November 22, 1861",en,d283b904-cf7d-4360-8cbe-168e80370362,9,2026-03-18T05:21:26+00:00,2026-01-26T15:17:11+00:00,,,1861-11-22_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0.xml
,2918,/group/james-merrill-linn-bucknellian-war/february-26-1862,"February 26, 1862",en,281da625-41a3-466c-b54c-dfc2abd5ade5,9,2026-03-04T16:28:41+00:00,2026-01-28T02:21:20+00:00,,,1862-02-26_0_0_0_0_0_0_0_0_0_0_1_0.xml
,2847,/group/james-merrill-linn-bucknellian-war/december-11-1861,"December 11, 1861",en,5936d69a-ac7f-4d6f-9ab0-ea9c56c2db82,9,2026-03-13T14:39:42+00:00,2026-01-28T00:57:47+00:00,,,1861-12-11_0_1_0_0_0_0_0_0_0_0.xml
