element,key,ref,type,tagged_content,date,source_file
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","real","Beaver","","1861-12-15.xml"
"persName","Thomas Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper076","real","Tom","","1861-12-15.xml"
"placeName","","","","Presbyterian Church","","1861-12-15.xml"
element,key,ref,type,tagged_content,date,source_file
"name","","","weather","fine day, though somewhat cold and windy","","1861-12-16.xml"
"placeName","","","","Court of Inquiry","","1861-12-16.xml"
"placeName","","","","House of Delegate","","1861-12-16.xml"
"placeName","Maryland","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl052","","Maryland","","1861-12-16.xml"
"placeName","Delaware","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl021","","Delaware","","1861-12-16.xml"
"placeName","Virginia","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl089","","Virginia","","1861-12-16.xml"
"persName","William Cameron","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper083","real","Cameron","","1861-12-16.xml"
"persName","William Cameron","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper083","","Cameron","","1861-12-16.xml"
"persName","Abraham Lincoln","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper136","","the President","","1861-12-16.xml"
"persName","William Cameron","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper083","real","Cameron","","1861-12-16.xml"
"placeName","Charleston, South Carolina","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnp0l15","","Charlestown","","1861-12-16.xml"
"placeName","","","","England","","1861-12-16.xml"
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","","Beaver","","1861-12-16.xml"
"persName","","","","Little","","1861-12-16.xml"
element,key,ref,type,tagged_content,date,source_file
"name","","","weather","bright fine day","","1861-12-17.xml"
"placeName","","","","court of inquiry","","1861-12-17.xml"
"persName","Lionel Jobert D'Epineuil","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper064","","Col. d'Epineuil's","","1861-12-17.xml"
"persName","Thomas Bell","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper072","real","Col Bell","","1861-12-17.xml"
"objectName","","","clothing","dress","","1861-12-17.xml"
"objectName","","","clothing","tassel","","1861-12-17.xml"
"persName","Thomas Bell","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper072","real","Col Bell","","1861-12-17.xml"
"persName","","","","Mrs D'Epineuil","","1861-12-17.xml"
"objectName","","","clothing","costume","","1861-12-17.xml"
"persName","Ambrose Burnside","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper008","","Gen Burnside","","1861-12-17.xml"
"placeName","","","","Europe","","1861-12-17.xml"
"objectName","","","mail","box","","1861-12-17.xml"
"objectName","","","clothing","shoes","","1861-12-17.xml"
"objectName","","","food","turkeys","","1861-12-17.xml"
"objectName","","","food","chickens","","1861-12-17.xml"
"objectName","","","food","butter","","1861-12-17.xml"
"objectName","","","mail","photograph","","1861-12-17.xml"
"persName","George McClellan","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper036","real","George","","1861-12-17.xml"
"objectName","","","vehicle","transports","","1861-12-17.xml"
"orgName","","","","Regiment","","1861-12-17.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","","Lt Morris","","1861-12-17.xml"
"orgName","","","","Guards","","1861-12-17.xml"
element,key,ref,type,tagged_content,date,source_file
"placeName","Camp Union","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnp0l11","","Camp Union","","1861-12-18.xml"
"placeName","Annapolis, MD","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl002","","Annapolis","","1861-12-18.xml"
"name","","","weather","Still fine weather","","1861-12-18.xml"
"orgName","","","","Court of Inquiry","","1861-12-18.xml"
"placeName","","","","Col's headquarters","","1861-12-18.xml"
"objectName","","","equipment","tent","","1861-12-18.xml"
"objectName","","","equipment","writing desk","","1861-12-18.xml"
"objectName","","","food","steaks","","1861-12-18.xml"
"objectName","","","food","Rice","","1861-12-18.xml"
"objectName","","","food","bread","","1861-12-18.xml"
"objectName","","","equipment","tent","","1861-12-18.xml"
"objectName","","","equipment","tent pole","","1861-12-18.xml"
"objectName","","","equipment","stakes","","1861-12-18.xml"
"objectName","","","equipment","tent","","1861-12-18.xml"
"persName","","","","Col. Martin","","1861-12-18.xml"
"placeName","Washington, D.C.","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl091","","Washington","","1861-12-18.xml"
"objectName","","","equipment","bullets","","1861-12-18.xml"
"persName","Col. Alberto Maggi","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper163","","Col. Maggi","","1861-12-18.xml"
"objectName","","","equipment","bullets","","1861-12-18.xml"
"objectName","","","equipment","rifles","","1861-12-18.xml"
"persName","Col. Alberto Maggi","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper163","","Col. Maggi","","1861-12-18.xml"
"persName","Joseph Antoine Viguier De Monteil","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper061","real","Col Monteil","","1861-12-18.xml"
"placeName","Centreville, Maryland","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnp0l14","","Centreville","","1861-12-18.xml"
"objectName","","","vehicle","baggage train","","1861-12-18.xml"
"orgName","","","","N.Y. Fire Zouaves","","1861-12-18.xml"
"objectName","","","vehicle","baggage train","","1861-12-18.xml"
"orgName","","","","Gen Franklin's brigade train","","1861-12-18.xml"
"persName","","","","Tom Grier","","1861-12-18.xml"
"orgName","","","","21st Mass","","1861-12-18.xml"
"orgName","","","","11th Pennsylvania","","1861-12-18.xml"
"persName","Dick Coulter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper025","real","Col. Dick Coulter","","1861-12-18.xml"
"placeName","","","","Dunkers","","1861-12-18.xml"
"objectName","","","food","oysters","","1861-12-18.xml"
"persName","","","","Baily","","1861-12-18.xml"
"persName","","","","Dr Jackson","","1861-12-18.xml"
"orgName","","","","Legislature","","1861-12-18.xml"
element,key,ref,type,tagged_content,date,source_file
